id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,anio_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_max,fecha_demanda_max,promedio_horas,municipio_original
27,chocó,27025,alto baudó,27025920,el morro(alto baudo - chocó),2025,3,597,147,4.03,jueves,2025-03-06 18:15:00,6.4435,alto baudo
27,chocó,27025,alto baudó,27025937,villa cecilia(alto baudo - chocó),2025,3,322,102,3.48,martes,2025-03-18 16:00:00,2.0242,alto baudo
27,chocó,27075,bahía solano,27075000,ciudad mutis(bahía solano - chocó),2025,3,895959,243273,1847.12,sábado,2025-03-29 20:45:00,23.25,bahía solano
27,chocó,27075,bahía solano,27075001,cupica(bahía solano - chocó),2025,3,70483,22220,145.16,sábado,2025-03-22 19:45:00,23.8952,bahía solano
27,chocó,27077,bajo baudó,27077000,pizarro(bajo baudó - chocó),2025,3,197456,72025,497.9,martes,2025-03-18 13:00:00,17.1129,bajo baudó
27,chocó,27077,bajo baudó,27077002,belen de docampado(bajo baudó - chocó),2025,3,8725,2761,37.84,sábado,2025-03-08 11:00:00,10.1613,bajo baudó
27,chocó,27077,bajo baudó,27077008,orpua(bajo baudó - chocó),2025,3,450,423,6.59,lunes,2025-03-24 19:00:00,4.371,bajo baudó
27,chocó,27077,bajo baudó,27077011,piliza - bellavista - villa luz(bajo baudó - chocó),2025,3,3046,711,25.6,lunes,2025-03-03 18:45:00,4.9516,bajo baudó
27,chocó,27077,bajo baudó,27077016,siviru(bajo baudó - chocó),2025,3,5426,2311,42.25,viernes,2025-03-21 19:15:00,6.1048,bajo baudó
27,chocó,27077,bajo baudó,27077019,virudo(bajo baudó - chocó),2025,3,6775,3172,31.58,viernes,2025-03-14 20:15:00,9.1855,bajo baudó
27,chocó,27077,bajo baudó,27077026,guineal(bajo baudó - chocó),2025,3,3393,3938,29.53,lunes,2025-03-31 18:45:00,8.3145,bajo baudó
27,chocó,27077,bajo baudó,27077029,firme de usarga(bajo baudó - chocó),2025,3,0,0,,,,0.0,bajo baudó
27,chocó,27077,bajo baudó,27077905,buenavista(bajo baudó - chocó),2025,3,2966,989,22.37,domingo,2025-03-02 17:45:00,6.4274,bajo baudó
27,chocó,27077,bajo baudó,27077911,playa nueva(bajo baudó - chocó),2025,3,3317,1368,18.04,sábado,2025-03-08 10:30:00,8.3226,bajo baudó
27,chocó,27077,bajo baudó,27077916,terron(bajo baudó - chocó),2025,3,619,598,16.91,jueves,2025-03-20 19:45:00,1.5323,bajo baudó
27,chocó,27099,bojayá,27099000,bellavista(bojayá - chocó),2025,3,118219,44005,326.79,sábado,2025-03-15 19:00:00,14.3629,bojayá
27,chocó,27099,bojayá,27099002,la loma de bojaya(bojayá - chocó),2025,3,14014,6032,70.07,sábado,2025-03-01 18:30:00,8.7823,bojayá
27,chocó,27099,bojayá,27099005,napipi(bojayá - chocó),2025,3,6374,2209,51.2,jueves,2025-03-06 15:45:00,4.6935,bojayá
27,chocó,27099,bojayá,27099012,pogue(bojayá - chocó),2025,3,2743,1382,21.7,sábado,2025-03-15 11:45:00,5.2742,bojayá
27,chocó,27099,bojayá,27099030,piedra candela(bojayá - chocó),2025,3,8011,3425,36.55,viernes,2025-03-14 16:15:00,9.2419,bojayá
27,chocó,27099,bojayá,27099905,chano(bojayá - chocó),2025,3,767,35,6.21,miércoles,2025-03-26 19:45:00,5.7339,bojayá
27,chocó,27250,el litoral del san juan,27250000,santa genoveva de docordo(el litoral del san juan - chocó),2025,3,95006,45945,257.14,sábado,2025-03-22 11:30:00,15.9677,el litoral del san juan
27,chocó,27250,el litoral del san juan,27250023,papayo(el litoral del san juan - chocó),2025,3,0,0,,,,0.0,el litoral del san juan
27,chocó,27361,istmina,27361023,potedó(istmina - chocó),2025,3,0,0,,,,0.0,istmina
27,chocó,27361,istmina,27361048,union choco(istmina - chocó),2025,3,751,303,5.91,lunes,2025-03-31 18:30:00,5.0242,istmina
27,chocó,27372,juradó,27372000,jurado(jurado - chocó),2025,3,197515,65371,360.0,sábado,2025-03-29 19:30:00,23.6774,jurado
27,chocó,27372,juradó,27372901,santa teresita(jurado - chocó),2025,3,2883,21,16.89,viernes,2025-03-07 19:30:00,12.0726,jurado
27,chocó,27372,juradó,27372902,buenavista(jurado - chocó),2025,3,1545,436,14.42,lunes,2025-03-31 19:00:00,9.2339,jurado
27,chocó,27372,juradó,27372905,dichardi(jurado - chocó),2025,3,2048,1831,14.83,domingo,2025-03-09 06:30:00,12.1694,jurado
27,chocó,27372,juradó,27372907,eyasake(jurado - chocó),2025,3,5978,2559,17.13,sábado,2025-03-15 08:00:00,14.2339,jurado
27,chocó,27372,juradó,27372930,dos bocas(jurado - chocó),2025,3,634,288,14.18,miércoles,2025-03-19 19:45:00,2.6694,jurado
